ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778399428,,2.91
1778399429,,2.91
1778399430,,2.91
1778399432,,2.91
1778399433,,3.00
1778399434,,3.00
1778399435,,3.00
1778399436,,3.00
1778399437,,3.00
1778399438,,2.75
1778399439,,2.75
1778399440,,2.75
1778399441,,2.75
1778399442,,2.75
1778399443,,2.69
1778399444,,2.69
1778399445,,2.69
1778399446,,2.69
1778399447,,2.69
1778399448,,2.64
1778399449,,2.64
1778399450,,2.64
1778399451,,2.64
1778399452,,2.64
1778399453,,2.83
1778399454,,2.83
1778399455,,2.83
1778399456,,2.83
1778399457,,2.83
1778399458,,2.92
1778399459,,2.92
1778399460,,2.92
1778399461,,2.92
1778399462,,2.92
1778399463,,2.85
1778399464,,2.85
1778399465,,2.85
1778399466,,2.85
1778399467,,2.70
1778399468,,2.70
1778399470,,2.70
1778399471,,2.70
1778399472,,2.70
1778399473,,3.04
1778399474,,3.04
1778399475,,3.04
1778399476,,3.04
1778399477,,3.04
1778399478,,2.96
1778399479,,2.96
1778399480,,2.96
1778399481,,2.96
1778399482,,2.96
1778399483,,2.72
1778399484,,2.72
1778399485,,2.72
1778399486,,2.72
1778399487,,2.72
1778399488,,2.66
1778399489,,2.66
1778399490,,2.66
1778399491,,2.66
1778399492,,2.66
1778399493,,2.53
1778399494,,2.53
1778399495,,2.53
1778399496,,2.53
1778399497,,2.53
1778399498,,2.89
1778399499,,2.89
1778399500,,2.89
1778399501,,2.89
1778399502,,2.89
1778399503,,3.06
1778399504,,3.06
1778399505,,3.06
1778399506,,3.06
1778399507,,3.06
1778399508,,3.13
1778399510,,3.13
1778399511,,3.13
1778399512,,3.13
1778399513,,3.28
1778399514,,3.28
1778399515,,3.28
1778399516,,3.28
1778399517,,3.28
1778399518,,3.66
1778399519,,3.66
1778399520,,3.66
1778399521,,3.66
1778399522,,3.66
1778399523,,3.45
1778399524,,3.45
1778399525,,3.45
1778399526,,3.45
1778399527,,3.45
1778399528,,3.65
1778399529,,3.65
1778399530,,3.65
1778399531,,3.65
1778399532,,3.65
1778399533,,3.92
1778399534,,3.92
1778399535,,3.92
1778399536,,3.92
1778399537,,3.92
1778399538,,4.08
1778399539,,4.08
1778399540,,4.08
1778399541,,4.08
1778399542,,4.08
1778399543,,4.16
1778399544,,4.16
1778399545,,4.16
1778399546,,4.16
1778399547,,4.16
1778399548,,4.23
1778399549,,4.23
1778399551,,4.23
1778399552,,4.23
1778399553,,4.05
1778399554,,4.05
1778399555,,4.05
1778399556,,4.05
1778399557,,4.05
1778399558,,3.96
1778399559,,3.96
1778399560,,3.96
1778399561,,3.96
1778399562,,3.96
1778399563,,3.73
1778399564,,3.73
1778399565,,3.73
1778399566,,3.73
1778399567,,3.73
1778399568,,3.83
1778399569,,3.83
1778399570,,3.83
1778399571,,3.83
1778399572,,3.83
1778399573,,3.68
1778399574,,3.68
1778399575,,3.68
1778399576,,3.68
1778399577,,3.68
1778399578,,3.79
1778399579,,3.79
1778399580,,3.79
1778399581,,3.79
1778399582,,3.79
1778399583,,3.56
1778399584,,3.56
1778399585,,3.56
1778399587,,3.56
1778399588,,3.60
1778399589,,3.60
1778399590,,3.60
1778399591,,3.60
1778399592,,3.60
1778399593,,3.31
1778399594,,3.31
1778399595,,3.31
1778399596,,3.31
1778399597,,3.31
1778399598,,7.13
1778399599,,7.13
1778399600,,7.13
1778399601,,7.13
1778399602,,7.13
1778399603,,6.88
1778399604,,6.88
1778399605,,6.88
1778399606,,6.88
1778399607,,6.88
1778399608,,6.57
1778399609,,6.57
1778399610,,6.57
1778399611,,6.57
1778399612,,6.57
1778399613,,6.28
1778399614,,6.28
1778399615,,6.28
1778399616,,6.28
1778399617,,6.28
1778399618,,6.50
1778399619,,6.50
1778399620,,6.50
1778399621,,6.50
1778399622,,6.50
1778399623,,6.38
1778399624,,6.38
1778399625,,6.38
1778399626,,6.38
1778399627,,6.38
1778399628,,5.95
1778399630,,5.95
1778399631,,5.95
1778399632,,5.95
1778399633,,5.55
1778399634,,5.55
1778399635,,5.55
1778399636,,5.55
1778399637,,5.55
1778399638,,5.27
1778399639,,5.27
1778399640,,5.27
1778399641,,5.27
1778399642,,5.27
1778399643,,5.24
1778399644,,5.24
1778399645,,5.24
1778399646,,5.24
1778399647,,5.24
